,0,1,2
159,BOWLING GREEN,BURNSIDE AV,
160,BRIARWOOD,BUSHWICK AV,
161,BRIGHTON BEACH,CANAL ST,
162,BROAD CHANNEL,CANAL ST (UL),
163,BROAD ST,CANARSIE - ROCKAWAY PARKWAY,
164,BROADWAY,CARROLL ST,
165,BROADWAY JCT,CASTLE HILL AV,
166,BRONX PARK EAST,CATHEDRAL PARKWAY-110 ST,
167,BROOK AV,CENTRAL AV,
168,BROOKLYN BRIDGE,CHAMBERS ST,
169,BUHRE AV,CHAUNCEY ST,
170,BURKE AV,CHRISTOPHER ST,
171,BURNSIDE AV,CHURCH AV,
172,BUSHWICK AV,CITY HALL,
173,CANAL ST,CLARK ST,
174,CANARSIE-ROCKAW,CLASSON AV,
175,CARROLL ST,CLEVELAND ST,
176,CASTLE HILL AV,CLINTON & WASHINGTON AVS,
177,CATHEDRAL PKWY,CLINTON-WASHINGTON AVS,
178,CENTRAL AV,CORTELYOU RD,
179,CENTRAL PK N110,CORTLANDT ST,
180,CHAMBERS ST,COURT ST,
181,CHAUNCEY ST,CRESCENT ST,
182,CHRISTOPHER ST,CYPRESS AV,
183,CHURCH AV,CYPRESS HILLS,
184,CITY / BUS,DEKALB AV,
185,CITY HALL,DELANCEY ST,
186,CLARK ST,DITMARS BLVD,
187,CLASSON AV,DITMAS AV,
188,CLEVELAND ST,DYCKMAN ST,
189,CLINTON-WASH AV,DYCKMAN ST-200 ST,
190,CONEY IS-STILLW,EAST 105 ST,
191,CORTELYOU RD,EAST 143 ST-ST MARY'S ST,
192,CORTLANDT ST,EAST 149 ST,
193,COURT SQ,EAST 180 ST,
194,COURT SQ-23 ST,EAST BROADWAY,
195,CRESCENT ST,EAST TREMONT AV-WEST FARMS SQ,
196,CROWN HTS-UTICA,EASTCHESTER-DYRE AV,
197,CYPRESS AV,EASTERN PARKWAY-BROOKLYN MUSEUM,
198,CYPRESS HILLS,ELDER AV,
199,DEKALB AV,ELDERTS LANE-75 ST,
200,DELANCEY/ESSEX,ELMHURST AV,
201,DITMAS AV,ESSEX ST,
202,DYCKMAN ST,EUCLID AV,
203,E 143/ST MARY'S,FAR ROCKAWAY-MOTT AV,
204,E 149 ST,FISK AV-69 ST,
205,E 180 ST,FLATBUSH AV-BROOKLYN COLLEGE,
206,EAST 105 ST,FLUSHING AV,
207,EAST BROADWAY,FLUSHING-MAIN ST,
208,EASTCHSTER/DYRE,FORDHAM RD,
209,EASTN PKWY-MUSM,FOREST AV,
210,ELDER AV,FOREST HILLS-71ST AV,
211,ELMHURST AV,FOREST PARKWAY-85 ST,
212,EUCLID AV,FORT HAMILTON PARKWAY,
213,EXCHANGE PLACE,FRANKLIN AV,
214,FAR ROCKAWAY,FRANKLIN ST,
215,FLATBUSH AV-B.C,FREEMAN ST,
216,FLUSHING AV,FRESH POND RD,
217,FLUSHING-MAIN,FULTON ST,
218,FORDHAM RD,GATES AV,
219,FOREST AVE,GRAHAM AV,
220,FOREST HILLS 71,GRAND ARMY PLAZA,
221,FRANKLIN AV,GRAND AV-NEWTOWN,
222,FRANKLIN ST,GRAND CENTRAL,
223,FREEMAN ST,GRAND CENTRAL-42ND ST,
224,FRESH POND RD,GRAND ST,
225,FT HAMILTON PKY,GRANT AV,
226,FULTON ST,GREENPOINT AV,
227,GATES AV,GUN HILL RD,
228,GRAHAM AV,HALSEY ST,
229,GRAND ARMY PLAZ,HARLEM-148 ST,
230,GRAND ST,HEWES ST,
231,GRAND-NEWTOWN,HIGH ST,
232,GRANT AV,HOUSTON ST,
233,GRD CNTRL-42 ST,HOWARD BEACH,
234,GREENPOINT AV,HOYT & SCHERMERHORN,
235,GROVE STREET,HOYT ST,
236,GUN HILL RD,HUNTERS POINT,
237,HALSEY ST,HUNTS POINT AV,
238,HARLEM 148 ST,INTERVALE AV,
239,HARRISON,INWOOD - 207 ST,
240,HEWES ST,JACKSON AV,
241,HIGH ST,JACKSON HEIGHTS-ROOSEVELT AVE,
242,HOUSTON ST,JAMAICA-179 ST,
243,HOWARD BCH JFK,JAMAICA-VAN WYCK,
244,HOYT ST,JAY ST - BOROUGH HALL,
245,HOYT-SCHER,JEFFERSON ST,
246,HUNTERS PT AV,JUNCTION BLVD,
247,HUNTS POINT AV,JUNIUS ST,
248,INTERVALE AV,KEW GARDENS-UNION TURNPIKE,
249,INWOOD-207 ST,KINGS HIGHWAY,
250,JACKSON AV,KINGSBRIDGE RD,
251,JAMAICA 179 ST,KINGSTON AV,
252,JAMAICA CENTER,KINGSTON-THROOP,
253,JAMAICA VAN WK,KNICKERBOCKER AV,
254,JAY ST-METROTEC,KOSCIUSKO ST,
255,JEFFERSON ST,LAFAYETTE AV,
256,JFK JAMAICA CT1,LAWRENCE ST,
257,JKSN HT-ROOSVLT,LEFFERTS BLVD,
258,JOURNAL SQUARE,LEXINGTON AV,
259,JUNCTION BLVD,LEXINGTON AV-53 ST,
260,JUNIUS ST,LIBERTY AV,
261,KEW GARDENS,LINCOLN AV-52ND ST,
262,KINGS HWY,LIVONIA AV,
263,KINGSBRIDGE RD,LONG ISLAND CITY-COURT SQUARE,
264,KINGSTON AV,LONGWOOD AV,
265,KINGSTON-THROOP,LORIMER ST,
266,KNICKERBOCKER,LOWERY ST-40 ST,
267,KOSCIUSZKO ST,MARBLE HILL-225 ST,
268,LACKAWANNA,MARCY AV,
269,LAFAYETTE AV,METROPOLITAN AV,
270,LEXINGTON AV/53,METS - WILLETS POINT,
271,LEXINGTON AV/63,MIDDLETOWN RD,
272,LIBERTY AV,MONTROSE AV,
273,LIVONIA AV,MORGAN AV,
274,LONGWOOD AV,MORRIS PARK,
275,LORIMER ST,MORRISON AV-SOUNDVIEW AV,
276,MARBLE HILL-225,MOSHOLU PARKWAY,
277,MARCY AV,MT EDEN AV,
278,METROPOLITAN AV,MYRTLE AV,
279,METS-WILLETS PT,MYRTLE-WILLOUGHBY AVS,
280,MIDDLETOWN RD,NASSAU AV,
281,MONTROSE AV,NECK RD,
282,MORGAN AV,NEPTUNE AV-VAN SICLEN,
283,MORISN AV/SNDVW,NEVINS ST,
284,MORRIS PARK,NEW LOTS AV,
285,MOSHOLU PKWY,NEW UTRECHT AV,
286,MT EDEN AV,NEWKIRK AV,
287,MYRTLE AV,NORTHERN BLVD,
288,MYRTLE-WILLOUGH,NORWOOD AV,
289,MYRTLE-WYCKOFF,NORWOOD-205 ST,
290,NASSAU AV,NOSTRAND AV,
291,NASSAU ST,OCEAN PARKWAY,
292,NECK RD,PACIFIC ST,
293,NEPTUNE AV,PARK PLACE,
294,NEREID AV,PARKCHESTER-EAST 177 ST,
295,NEVINS ST,PARKSIDE AV,
296,NEW LOTS,PARSONS BLVD,
297,NEW LOTS AV,PARSONS BLVD-ARCHER AV - JAMAICA CENTER,
298,NEW UTRECHT AV,PELHAM BAY PARK,
299,NEWARK BM BW,PELHAM PARKWAY,
300,NEWARK C,PENNSYLVANIA AV,
301,NEWARK HM HE,PRESIDENT ST,
302,NEWARK HW BMEBE,PRINCE ST,
303,NEWKIRK AV,PROSPECT AV,
304,NEWKIRK PLAZA,PROSPECT PARK,
305,NORTHERN BLVD,PROSPECT PARK-15 ST,
306,NORWOOD 205 ST,QUEENS PLAZA,
307,NORWOOD AV,QUEENSBORO PLAZA,
308,NOSTRAND AV,RALPH AV,
309,OCEAN PKWY,RAWSON ST-33 ST,
310,ORCHARD BEACH,RECTOR ST,
311,OZONE PK LEFFRT,ROCKAWAY AV,
312,PARK PLACE,ROCKAWAY BLVD,
313,PARKCHESTER,ROCKAWAY PARK-BEACH 116,
314,PARKSIDE AV,ROOSEVELT ISLAND,
315,PARSONS BLVD,SARATOGA AV,
316,PATH NEW WTC,SENECA AV,
317,PATH WTC,SHEEPSHEAD BAY,
318,PATH WTC 2,SHEPHERD AV,
319,PAVONIA/NEWPORT,SIMPSON ST,
320,PELHAM BAY PARK,SMITH-9 ST,
321,PELHAM PKWY,SOUTH FERRY,
322,PENNSYLVANIA AV,SPRING ST,
323,PRESIDENT ST,ST LAWRENCE AV,
324,PRINCE ST,STEINWAY ST,
325,PROSPECT AV,STERLING ST,
326,PROSPECT PARK,STILLWELL AV,
327,QUEENS PLAZA,SUTPHIN BLVD,
328,QUEENSBORO PLZ,SUTPHIN BLVD-ARCHER AV - JFK,
329,RALPH AV,SUTTER AV,
330,RECTOR ST,TIMES SQUARE,
331,RIT-MANHATTAN,TIMES SQUARE-42ND ST,
332,RIT-ROOSEVELT,TREMONT AV,
333,ROCKAWAY AV,UNION SQUARE,
334,ROCKAWAY BLVD,UNION ST,
335,ROCKAWAY PARK B,UTICA AV,
336,ROOSEVELT ISLND,VAN CORTLANDT PARK-242ND ST,
337,SARATOGA AV,VAN SICLEN AV,
338,SENECA AVE,VERNON BLVD-JACKSON AV,
339,SHEEPSHEAD BAY,WAKEFIELD-241ST ST,
340,SHEPHERD AV,WALL ST,
341,SIMPSON ST,WEST 4 ST,
342,SMITH-9 ST,WEST 8 ST,
343,SOUTH FERRY,WESTCHESTER SQUARE-EAST TREMONT AV,
344,SPRING ST,WHITEHALL ST,
345,ST LAWRENCE AV,WHITLOCK AV,
346,ST. GEORGE,WILSON AV,
347,STEINWAY ST,WINTHROP ST,
348,STERLING ST,WOODHAVEN BLVD,
349,SUTPHIN BLVD,WOODLAWN,
350,SUTPHIN-ARCHER,WOODSIDE AV-61ST ST,
351,SUTTER AV,WORLD TRADE CENTER,
352,SUTTER AV-RUTLD,YANKEE STADIUM-161ST ST,
353,THIRTY ST,YORK ST,
354,THIRTY THIRD ST,ZEREGA AV,
355,TIMES SQ-42 ST,,
356,TOMPKINSVILLE,,
357,TREMONT AV,,
358,TWENTY THIRD ST,,
359,UNION ST,,
360,UTICA AV,,
361,V.CORTLANDT PK,,
362,VAN SICLEN AV,,
363,VAN SICLEN AVE,,
364,VERNON-JACKSON,,
365,W 4 ST-WASH SQ,,
366,W 8 ST-AQUARIUM,,
367,WAKEFIELD/241,,
368,WALL ST,,
369,WEST FARMS SQ,,
